datetime,pm25,latitude,longitude,sensor_id,location_id
2026-09-06T10:00:00Z,5.4,48.9025040001429,2.452500000264972,9589,4066
2021-08-09T11:00:00Z,14.0,43.8303,87.5801,27886,9234
2026-09-06T00:00:00Z,3.02814,59.43347100001061,10.661762360232748,35072,10567
2021-08-09T11:00:00Z,24.0,34.9058,108.9344,34675,10467
2026-09-06T10:00:00Z,6.15,48.37657599981851,10.888370000280668,11402,4594
2026-09-06T11:00:00Z,2.3,45.808215928423095,15.995745623062676,8462459,2590138
2026-08-05T16:48:10Z,18.0,10.844841172,106.794992387,17137235,6473874
2026-04-03T20:00:00Z,13.0,36.66608,127.474924,8539809,2623111
2026-09-06T10:00:00Z,10.2,37.7011,-97.3139,25967,1467
2026-09-06T11:00:00Z,9.6,16.4436,103.51299999999999,7338537,1785690
2026-09-06T11:00:00Z,4.897,-33.96459,22.475761,7338539,1785689
2025-11-27T12:54:06Z,0.0,-41.159,146.146,14479,5491
2026-09-06T11:00:00Z,3.0,45.6325658913786,-93.92309669993243,17139653,6474203
2026-09-06T11:00:00Z,6.7,18.362008,103.65977000000001,7338540,1785692
2026-09-06T11:00:00Z,4.6,42.04863976778047,-87.69467927316111,17139658,6474204
2026-04-30T22:00:00Z,4.0,37.64593,-118.96653,8494433,2604830
2026-09-06T00:00:00Z,-1.0,48.141249999538644,16.300082999567955,9440303,2876226
2026-09-05T22:00:00Z,8.14,53.30740000010482,11.373299999648415,9440305,2876225
2020-12-31T15:00:00Z,37.0,31.350799999999996,118.3528,17289,6255
2024-03-29T09:00:00Z,24.06944465637207,13.771263,100.434679,8502834,2608457
2026-09-06T10:00:00Z,5.1,48.6775199997656,9.22940300012656,9440309,2876224
2024-07-30T11:00:00Z,3.06,54.436984999994195,12.721938000327013,9445126,4775
2026-09-06T10:00:00Z,4.75463,49.82516500015017,8.51679799955829,9445127,4683
2026-09-06T11:00:00Z,11.0,35.15774199999999,126.810097,8539876,2622605
2026-09-06T11:00:00Z,0.3,41.765359014827204,-111.84476990128336,15256023,6214215
2026-09-06T11:00:00Z,13.7,35.912986,14.45186,17140590,6474249
